,Time,latitude,longitude,Depth,Total Log,Heading,STW,COG,SOG,TWD,TWA,TWS,AWA,AWS,AWS (max),Water Temperature,date,speed_delta,distance,log_entry,data,havens,vertrekhaven,tussenstop,aankomsthaven
0,,,,,,,,,,,,,,,,,,,,2024-06-01 - van Walsoorden naar Paal.md,2024-06-01,- van Walsoorden naar Paal, van Walsoorden naar Paal,,
1,,,,,,,,,,,,,,,,,,,,2024-06-01 - WV Saeftinghe.md,2024-06-01,- WV Saeftinghe, WV Saeftinghe,,
2,,,,,,,,,,,,,,,,,,,,2024-06-03 - Proefvaart met Bart.md,2024-06-03,- Proefvaart met Bart, Proefvaart met Bart,,
3,,,,,,,,,,,,,,,,,,,,2024-06-08 - Marifoonexamen.md,2024-06-08,- Marifoonexamen, Marifoonexamen,,
4,,,,,,,,,,,,,,,,,,,,2024-06-19 - Vriendelijke Zeeuwen.md,2024-06-19,- Vriendelijke Zeeuwen, Vriendelijke Zeeuwen,,
5,,,,,,,,,,,,,,,,,,,,2024-06-21 - Avond voor vertrek.md,2024-06-21,- Avond voor vertrek, Avond voor vertrek,,
6,,,,,,,,,,,,,,,,,,,,2024-06-22 - Paal - Vlissingen.md,2024-06-22,- Paal - Vlissingen, Paal ,, Vlissingen
7,,,,,,,,,,,,,,,,,,,,2024-06-25 - Vlissingen Scheveningen.md,2024-06-25,- Vlissingen Scheveningen, Vlissingen Scheveningen,,
8,,,,,,,,,,,,,,,,,,,,2024-06-30 - Scheveningen - IJmuiden.md,2024-06-30,- Scheveningen - IJmuiden, Scheveningen ,, IJmuiden
9,,,,,,,,,,,,,,,,,,,,2024-07-05 - IJmuiden - Naarden.md,2024-07-05,- IJmuiden - Naarden, IJmuiden ,, Naarden
10,,,,,,,,,,,,,,,,,,,,2024-07-06 - Naarden - Muiden.md,2024-07-06,- Naarden - Muiden, Naarden ,, Muiden
11,,,,,,,,,,,,,,,,,,,,2024-07-07 - Muiden - Hoorn.md,2024-07-07,- Muiden - Hoorn, Muiden ,, Hoorn
12,,,,,,,,,,,,,,,,,,,,2024-07-10 - Hoornse Hop.md,2024-07-10,- Hoornse Hop, Hoornse Hop,,
13,,,,,,,,,,,,,,,,,,,,2024-07-17 - Hoornse Hop.md,2024-07-17,- Hoornse Hop, Hoornse Hop,,
14,,,,,,,,,,,,,,,,,,,,2024-08-03 - Hoorn - Enkhuizen.md,2024-08-03,- Hoorn - Enkhuizen, Hoorn ,, Enkhuizen
15,,,,,,,,,,,,,,,,,,,,2024-08-04 - Enkhuizen - Enkhuizen.md,2024-08-04,- Enkhuizen - Enkhuizen, Enkhuizen ,, Enkhuizen
16,,,,,,,,,,,,,,,,,,,,2024-08-05 - Enkhuizen - Den Oever (Waddenhaven).md,2024-08-05,- Enkhuizen - Den Oever (Waddenhaven), Enkhuizen ,, Den Oever (Waddenhaven)
17,,,,,,,,,,,,,,,,,,,,2024-08-06 - Den Oever - Amsteldiep (en terug).md,2024-08-06,- Den Oever - Amsteldiep (en terug), Den Oever ,, Amsteldiep (en terug)
18,,,,,,,,,,,,,,,,,,,,2024-08-07 - Den Oever - Amsteldiep (en terug).md,2024-08-07,- Den Oever - Amsteldiep (en terug), Den Oever ,, Amsteldiep (en terug)
19,,,,,,,,,,,,,,,,,,,,2024-08-08 - Den Oever - Texel (via De Bollen).md,2024-08-08,- Den Oever - Texel (via De Bollen), Den Oever ,, Texel (via De Bollen)
20,,,,,,,,,,,,,,,,,,,,2024-08-10 - Texel - Makkum (via Texelstroom en Doove Balg).md,2024-08-10,- Texel - Makkum (via Texelstroom en Doove Balg), Texel ,, Makkum (via Texelstroom en Doove Balg)
21,,,,,,,,,,,,,,,,,,,,2024-08-11 - WSV Makkum - Centrum Makkum.md,2024-08-11,- WSV Makkum - Centrum Makkum, WSV Makkum ,, Centrum Makkum
22,,,,,,,,,,,,,,,,,,,,2024-09-04 - Makkum-Makkum.md,2024-09-04,- Makkum-Makkum, Makkum,,Makkum
23,,,,,,,,,,,,,,,,,,,,2024-09-06 - Makkum - Marina Makkum.md,2024-09-06,- Makkum - Marina Makkum, Makkum ,, Marina Makkum
24,,,,,,,,,,,,,,,,,,,,2024-09-07 - Makkum - Richel.md,2024-09-07,- Makkum - Richel, Makkum ,, Richel
25,,,,,,,,,,,,,,,,,,,,2024-09-08 - Richel - Makkum.md,2024-09-08,- Richel - Makkum, Richel ,, Makkum
26,,,,,,,,,,,,,,,,,,,,2024-09-14 - Makkum - Enkhuizen.md,2024-09-14,- Makkum - Enkhuizen, Makkum ,, Enkhuizen
27,,,,,,,,,,,,,,,,,,,,2024-09-15 - Enkhuizen - Hoorn.md,2024-09-15,- Enkhuizen - Hoorn, Enkhuizen ,, Hoorn
28,,,,,,,,,,,,,,,,,,,,2024-09-20 - Hoorn - Markerwadden.md,2024-09-20,- Hoorn - Markerwadden, Hoorn ,, Markerwadden
29,,,,,,,,,,,,,,,,,,,,2024-09-21 - Markerwadden - Hoorn.md,2024-09-21,- Markerwadden - Hoorn, Markerwadden ,, Hoorn
30,,,,,,,,,,,,,,,,,,,,2024-10-25 - Hoorn - Den Oever.md,2024-10-25,- Hoorn - Den Oever, Hoorn ,, Den Oever
31,,,,,,,,,,,,,,,,,,,,2024-10-26 - Den Oever - Amsteldiep - Medemblik.md,2024-10-26,- Den Oever - Amsteldiep - Medemblik, Den Oever , Amsteldiep , Medemblik
32,,,,,,,,,,,,,,,,,,,,2024-10-27 - Medemblik - Hoorn.md,2024-10-27,- Medemblik - Hoorn, Medemblik ,, Hoorn
33,,,,,,,,,,,,,,,,,,,,2024-11-16 - Hoorn - Amsterdam.md,2024-11-16,- Hoorn - Amsterdam, Hoorn ,, Amsterdam
34,,,,,,,,,,,,,,,,,,,,2025-03-29 - Rhebergen (Amsterdam)  - Hoorn.md,2025-03-29,- Rhebergen (Amsterdam)  - Hoorn, Rhebergen (Amsterdam)  ,, Hoorn
35,,,,,,,,,,,,,,,,,,,,2025-04-04 - Hoorn - Marken - Hoorn.md,2025-04-04,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
36,,,,,,,,,,,,,,,,,,,,2025-04-06 - Hoorn-Marken-Hoorn.md,2025-04-06,- Hoorn-Marken-Hoorn, Hoorn,Marken,Hoorn
37,,,,,,,,,,,,,,,,,,,,2025-04-19 - Hoorn - Marker Wadden - Hoorn.md,2025-04-19,- Hoorn - Marker Wadden - Hoorn, Hoorn , Marker Wadden , Hoorn
38,2025-04-25 15:39:00,52.6379783,5.0665216,2.87,,,,,,,,,,,,,2025-04-25,,,,,,,,
39,2025-04-25 15:45:00,52.6379616,5.066415,2.78,,,,,,,,,,,,,2025-04-25,,0.0040147825706176215,,,,,,
40,2025-04-26 11:22:00,52.6379816,5.06658,2.88,,,,,,,,,,,,,2025-04-26,,0.006135841204507944,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
41,2025-04-26 11:27:00,52.6379566,5.0664666,3.04,,,,,,,,,,,,,2025-04-26,,0.00439973706077037,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
42,2025-04-26 11:41:00,52.6379733,5.0663933,2.72,,,,,,,,,,,,,2025-04-26,,0.0028551729865272536,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
43,2025-04-26 11:49:00,52.637935,5.0664366,2.68,,,,,,,,,,,,,2025-04-26,,0.0027910946846054336,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
44,2025-04-26 11:54:00,52.6356133,5.064475,3.25,,,,,,,,,,,,,2025-04-26,,0.156785298434083,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
45,2025-04-26 11:59:00,52.63161,5.0696333,3.33,,,,,,,,,,,,,2025-04-26,,0.30538880476195085,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
46,2025-04-26 12:04:00,52.6298733,5.0749383,3.47,,,,,,,,,,,,,2025-04-26,,0.2198376255549455,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
47,2025-04-26 12:09:00,52.6255433,5.0804633,3.47,,,,,,,,,,,,,2025-04-26,,0.3291122644590549,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
48,2025-04-26 12:14:00,52.62183,5.08412,3.54,,,,,,,,,,,,,2025-04-26,,0.25996905949837995,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
49,2025-04-26 12:19:00,52.616835,5.08739,3.77,,,,,,,,,,,,,2025-04-26,,0.3229960956183572,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
50,2025-04-26 12:24:00,52.6112533,5.0910183,3.56,,,,,,,,,,,,,2025-04-26,,0.3605938752304339,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
51,2025-04-26 12:29:00,52.6054983,5.09554,3.46,,,,,,,,,,,,,2025-04-26,,0.383174372936922,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
52,2025-04-26 12:38:00,52.5952683,5.1062533,3.83,,,,,,,,,,,,,2025-04-26,,0.7285561276692236,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
53,2025-04-26 12:43:00,52.5913266,5.11254,3.85,,,,,,,,,,,,,2025-04-26,,0.329801877759962,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
54,2025-04-26 12:48:00,52.5887466,5.1198383,3.7,,,,,,,,,,,,,2025-04-26,,0.3082601179031985,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
55,2025-04-26 12:53:00,52.5877866,5.1248283,3.64,,,,,,,,,,,,,2025-04-26,,0.19109064262022402,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
56,2025-04-26 12:57:59,52.593705,5.1245166,3.53,,,,,,,,,,,,,2025-04-26,,0.35582862258167264,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
57,2025-04-26 13:03:00,52.6001066,5.1256,3.78,,,,,,,,,,,,,2025-04-26,,0.3867101868246958,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
58,2025-04-26 13:08:00,52.6055233,5.127275,3.81,,,,,,,,,,,,,2025-04-26,,0.33118924352869605,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
59,2025-04-26 13:13:00,52.6027883,5.1340183,4.07,,,,,,,,,,,,,2025-04-26,,0.295929097145998,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
60,2025-04-26 13:18:00,52.60027,5.1409883,3.99,,,,,,,,,,,,,2025-04-26,,0.29599252072721244,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
61,2025-04-26 13:23:00,52.5965233,5.1421716,3.96,,,,,,,,,,,,,2025-04-26,,0.22925068557852918,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
